location,lon,lat,population,ID,ID_Gem,Ai_walk_correct,Ai_walk_optimum,Ai_z_norm_correct,Ai_z_norm_optimized
324,8.554851,47.31178,49,13901004,139,6.0361805407626e-4,7.1902179214452e-4,5.865734979227179e-4,9.185209285128581e-4
325,8.55487,47.31268,30,13901004,139,5.1401237777354e-4,6.6472748207123e-4,5.865734979227179e-4,9.185209285128581e-4
326,8.554889,47.31358,61,13901004,139,3.9015985438073e-4,6.4585664704955e-4,5.865734979227179e-4,9.185209285128581e-4
327,8.554908,47.31448,32,13901004,139,3.7277691898649e-4,6.6239582291478e-4,5.865734979227179e-4,9.185209285128581e-4
328,8.554927,47.31537,4,13901004,139,5.3182341626501e-4,5.7546059997441e-4,5.865734979227179e-4,9.185209285128581e-4
329,8.554945,47.31627,5,13501006,135,5.2293495237843e-4,7.1485018843135e-4,6.132683016857008e-4,6.711266778276288e-4
330,8.555703,47.28928,17,14101003,141,2.8483805467227e-4,2.720685065931e-4,8.86971276594094e-4,6.624367989290904e-4
331,8.555722,47.29018,33,14101003,141,2.907574856139e-4,4.4709245910947e-4,8.86971276594094e-4,6.624367989290904e-4
332,8.555741,47.29108,37,14101003,141,8.2919334586049e-4,5.3884126074622e-4,8.86971276594094e-4,6.624367989290904e-4
333,8.55576,47.29198,8,14101003,141,0.00137553985077494,7.1428553950786e-4,8.86971276594094e-4,6.624367989290904e-4
334,8.555797,47.29378,27,14101003,141,0.0018355286345834,0.00104680893070059,8.86971276594094e-4,6.624367989290904e-4
335,8.555816,47.29468,39,14101003,141,0.00182053617941747,0.00100927728883837,8.86971276594094e-4,6.624367989290904e-4
336,8.555835,47.29558,81,14101004,141,0.00149706774943317,0.00106547803678513,0.0024585035933824026,0.001253411798256908
337,8.555854,47.29648,42,14101004,141,0.00203697351098345,0.00126989226896469,0.0024585035933824026,0.001253411798256908
338,8.555872,47.29737,32,14101004,141,0.00227809796538294,0.00103074583530226,0.0024585035933824026,0.001253411798256908
339,8.555891,47.29827,33,14101004,141,0.00233368352274504,0.00103286481007833,0.0024585035933824026,0.001253411798256908
340,8.55591,47.29917,48,14101004,141,0.00213487683350976,0.00101193768465473,0.0024585035933824026,0.001253411798256908
341,8.555929,47.30007,49,14101004,141,0.00209418928677821,0.00128299390007091,0.0024585035933824026,0.001253411798256908
342,8.555948,47.30097,87,14101004,141,0.00184537718237623,0.00125901355050591,0.0024585035933824026,0.001253411798256908
343,8.555967,47.30187,90,13901003,139,0.00183185142792848,0.00128248596250697,9.221442474174417e-4,0.0010987616940906317
344,8.555985,47.30277,64,13901003,139,0.00165137794605094,0.00127748753350688,9.221442474174417e-4,0.0010987616940906317
345,8.556004,47.30367,42,13901003,139,0.00126641090350304,0.00120790220288204,9.221442474174417e-4,0.0010987616940906317
346,8.556023,47.30457,31,13901003,139,0.00116404591457101,0.00108153588806892,9.221442474174417e-4,0.0010987616940906317
347,8.556042,47.30547,77,13901005,139,7.4353012431694e-4,8.6033091592484e-4,0.0012693328279513557,9.749546958422019e-4
348,8.556061,47.30637,92,13901005,139,9.9719146062234e-4,0.00114750874300255,0.0012693328279513557,9.749546958422019e-4
349,8.55608,47.30727,61,13901005,139,7.6478458715285e-4,9.6234525186695e-4,0.0012693328279513557,9.749546958422019e-4
350,8.556098,47.30817,66,13901005,139,7.5514058651971e-4,9.8287446852288e-4,0.0012693328279513557,9.749546958422019e-4
351,8.556117,47.30907,92,13901005,139,7.5583792233734e-4,9.8451388221333e-4,0.0012693328279513557,9.749546958422019e-4
352,8.556136,47.30997,95,13901004,139,7.2332794127394e-4,9.1628221115793e-4,5.865734979227179e-4,9.185209285128581e-4
353,8.556155,47.31087,19,13901004,139,6.7360280609556e-4,8.2793378779263e-4,5.865734979227179e-4,9.185209285128581e-4
354,8.556968,47.28657,45,14101007,141,5.3118822281485e-4,3.3667558926325e-4,0.00114643712868461,8.615460343631541e-4
355,8.556987,47.28747,100,14101007,141,8.6908698548271e-4,4.3349939635077e-4,0.00114643712868461,8.615460343631541e-4
356,8.557006,47.28837,46,14101003,141,0.00123039385432528,6.8961210939274e-4,8.86971276594094e-4,6.624367989290904e-4
357,8.557025,47.28927,30,14101003,141,0.00134785896855972,6.7903094440985e-4,8.86971276594094e-4,6.624367989290904e-4
358,8.557044,47.29017,19,14101003,141,0.00167777234569472,8.1579968728031e-4,8.86971276594094e-4,6.624367989290904e-4
359,8.557063,47.29107,128,14101003,141,0.00186406015179643,9.0817104865566e-4,8.86971276594094e-4,6.624367989290904e-4
360,8.557081,47.29197,69,14101003,141,0.00254037219905718,0.0012218708815437,8.86971276594094e-4,6.624367989290904e-4
361,8.557119,47.29376,76,14101004,141,0.00237303430399625,0.00125566756762228,0.0024585035933824026,0.001253411798256908
362,8.557138,47.29466,65,14101004,141,0.00259905245194799,0.00136027082957744,0.0024585035933824026,0.001253411798256908
363,8.557157,47.29556,46,14101004,141,0.00273784951209918,0.00130181136371739,0.0024585035933824026,0.001253411798256908
364,8.557176,47.29646,80,14101004,141,0.00230085691874381,0.00127954345572283,0.0024585035933824026,0.001253411798256908
365,8.557194,47.29736,41,14101004,141,0.00264500521005706,0.00128608953137406,0.0024585035933824026,0.001253411798256908
366,8.557213,47.29826,94,14101004,141,0.00279364706895673,0.0013070826640617,0.0024585035933824026,0.001253411798256908
367,8.557232,47.29916,81,14101004,141,0.0027395951723354,0.00124654329496541,0.0024585035933824026,0.001253411798256908
368,8.557251,47.30006,60,14101004,141,0.00253723058013279,0.00124277412647659,0.0024585035933824026,0.001253411798256908
369,8.55727,47.30096,78,14101006,141,0.00248196237078398,0.00123310612383184,0.0037228429613684576,0.001364685023992323
370,8.557289,47.30186,54,13901003,139,0.00223404111097835,0.00121852150898711,9.221442474174417e-4,0.0010987616940906317
371,8.557308,47.30276,28,13901003,139,0.00185557088906293,0.00111255785930643,9.221442474174417e-4,0.0010987616940906317
372,8.557326,47.30366,41,13901005,139,0.00146515835746541,0.00102046779738673,0.0012693328279513557,9.749546958422019e-4
373,8.557345,47.30456,98,13901005,139,0.00125170329376146,0.00101637130379169,0.0012693328279513557,9.749546958422019e-4
374,8.557364,47.30546,35,13901005,139,0.00116105989340574,9.6618303951842e-4,0.0012693328279513557,9.749546958422019e-4
375,8.557383,47.30636,46,13901005,139,9.7279107460719e-4,7.9983763448351e-4,0.0012693328279513557,9.749546958422019e-4
376,8.557402,47.30725,43,13901005,139,7.4224032315947e-4,8.8300610586005e-4,0.0012693328279513557,9.749546958422019e-4
377,8.557421,47.30815,29,13901005,139,7.2998849834429e-4,9.2927352017709e-4,0.0012693328279513557,9.749546958422019e-4
378,8.557439,47.30905,16,13901005,139,7.2937197691342e-4,9.2805502172945e-4,0.0012693328279513557,9.749546958422019e-4
379,8.55829,47.28656,9,14101007,141,5.1089429414797e-4,4.6898911106088e-4,0.00114643712868461,8.615460343631541e-4
380,8.558309,47.28746,58,14101007,141,8.1870107562566e-4,5.5200543813216e-4,0.00114643712868461,8.615460343631541e-4
381,8.558328,47.28836,89,14101007,141,0.0013014141353389,8.8527494384918e-4,0.00114643712868461,8.615460343631541e-4
382,8.558347,47.28926,35,14101007,141,0.00184867763470888,9.3461831572002e-4,0.00114643712868461,8.615460343631541e-4
383,8.558366,47.29015,52,14101003,141,0.0020694927993363,0.00106534618163045,8.86971276594094e-4,6.624367989290904e-4
384,8.558384,47.29105,74,14101003,141,0.00164489377966118,8.3589989367381e-4,8.86971276594094e-4,6.624367989290904e-4
385,8.558403,47.29195,114,14101005,141,0.0022380053905312,0.00113062964431022,0.002905909005742399,0.0014612363827568274
386,8.558422,47.29285,80,14101004,141,0.00314866202039439,0.00153922725410577,0.0024585035933824026,0.001253411798256908
387,8.558441,47.29375,94,14101004,141,0.00298772526204574,0.00147826684216491,0.0024585035933824026,0.001253411798256908
388,8.55846,47.29465,56,14101004,141,0.00284226488609651,0.00144359058803378,0.0024585035933824026,0.001253411798256908
389,8.558479,47.29555,46,14101004,141,0.00322618027555329,0.00141071323043761,0.0024585035933824026,0.001253411798256908
390,8.558498,47.29645,69,14101004,141,0.00316221486882674,0.00142149190395151,0.0024585035933824026,0.001253411798256908
391,8.558516,47.29735,113,14101004,141,0.00319087888136906,0.00139953516693537,0.0024585035933824026,0.001253411798256908
392,8.558535,47.29825,83,14101004,141,0.0031414075289884,0.00130379338712385,0.0024585035933824026,0.001253411798256908
393,8.558554,47.29915,85,14101004,141,0.00310689760953838,0.00124319173606447,0.0024585035933824026,0.001253411798256908
394,8.558573,47.30005,51,14101006,141,0.00298239357588186,0.00122957530624746,0.0037228429613684576,0.001364685023992323
395,8.558592,47.30095,37,14101006,141,0.00269529154120519,0.00117433581730174,0.0037228429613684576,0.001364685023992323
396,8.558611,47.30185,144,13901005,139,0.00243879164253827,0.00102044547773453,0.0012693328279513557,9.749546958422019e-4
397,8.55863,47.30275,65,13901005,139,0.0021942212502682,9.8425831209192e-4,0.0012693328279513557,9.749546958422019e-4
398,8.558649,47.30364,19,13901005,139,0.00186321463144012,9.3207285193347e-4,0.0012693328279513557,9.749546958422019e-4
399,8.558667,47.30454,7,13901005,139,0.00104529681273953,7.5661980433142e-4,0.0012693328279513557,9.749546958422019e-4
400,8.558686,47.30544,5,13901005,139,9.1052037745333e-4,8.3149991617034e-4,0.0012693328279513557,9.749546958422019e-4
401,8.558705,47.30634,3,13901005,139,8.5596258726085e-4,6.052667526454e-4,0.0012693328279513557,9.749546958422019e-4
402,8.559612,47.28654,39,14101007,141,5.3297613314152e-4,7.0617538567215e-4,0.00114643712868461,8.615460343631541e-4
403,8.559631,47.28744,156,14101007,141,8.2585240505487e-4,8.1308644795989e-4,0.00114643712868461,8.615460343631541e-4
